"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","X1","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X2","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X3","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X4","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X5","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X6","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X7","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X8","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X9","X90","X91","X92","X93","X94","X95","X96"
"group_1181","","hypothetical protein","2","2","1","1","1719","1","1031","","200","200","200","","","","","","","","","","","","","","","","","","","","LPOKCGMG_00048","","","","","","","","","","","","","","","","","","","","","","","","","","","LMNJNKND_00048","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_1182","","DNA polymerase III subunit beta","2","2","1","1","1718","1","1030","","1148","1148","1148","","","","","","","","","","","","","","","","","","","","LPOKCGMG_00049","","","","","","","","","","","","","","","","","","","","","","","","","","","LMNJNKND_00049","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_1183","","hypothetical protein","2","2","1","1","1717","1","1029","","383","383","383","","","","","","","","","","","","","","","","","","","","LPOKCGMG_00050","","","","","","","","","","","","","","","","","","","","","","","","","","","LMNJNKND_00050","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_1184","","hypothetical protein","2","2","1","1","1716","1","1028","","206","206","206","","","","","","","","","","","","","","","","","","","","LPOKCGMG_00051","","","","","","","","","","","","","","","","","","","","","","","","","","","LMNJNKND_00051","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_1185","","hypothetical protein","2","2","1","1","1715","1","1027","","413","413","413","","","","","","","","","","","","","","","","","","","","LPOKCGMG_00052","","","","","","","","","","","","","","","","","","","","","","","","","","","LMNJNKND_00052","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_1186","","hypothetical protein","2","2","1","1","1714","1","1026","","188","188","188","","","","","","","","","","","","","","","","","","","","LPOKCGMG_00053","","","","","","","","","","","","","","","","","","","","","","","","","","","LMNJNKND_00053","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_1187","","hypothetical protein","2","2","1","1","1713","1","1025","","332","332","332","","","","","","","","","","","","","","","","","","","","LPOKCGMG_00054","","","","","","","","","","","","","","","","","","","","","","","","","","","LMNJNKND_00054","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_1188","","hypothetical protein","2","2","1","1","1712","1","1024","","296","296","296","","","","","","","","","","","","","","","","","","","","LPOKCGMG_00055","","","","","","","","","","","","","","","","","","","","","","","","","","","LMNJNKND_00055","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_1189","","hypothetical protein","2","2","1","1","1711","1","1023","","272","272","272","","","","","","","","","","","","","","","","","","","","LPOKCGMG_00056","","","","","","","","","","","","","","","","","","","","","","","","","","","LMNJNKND_00056","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_1190","","excise","2","2","1","1","1710","1","1022","","269","269","269","","","","","","","","","","","","","","","","","","","","LPOKCGMG_00057","","","","","","","","","","","","","","","","","","","","","","","","","","","LMNJNKND_00057","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_1474","","hypothetical protein","2","2","1","1","643","1","1236","","218","218","218","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HFIFPMOC_00050","","","","","","","","NIFHHIAF_00009","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cocE","","Cocaine esterase","2","2","1","1","602","1","1159","","1646","1646","1646","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","KMMKDNHJ_00048","","","","","","","","","","","","","","","","","","","","","","","","","","","PGNDIKEO_00005","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_1486","","tRNA-Thr(cgt)","2","2","1","1","580","1","1154","","73","73","73","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","OLCIKOGL_00003","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AGJCDFGJ_00078","","","","","","","","","","","","","","","","","","",""
"group_1528","","minor tail protein","2","2","1","1","346","1","2143","","1679","1679","1679","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","JCFLIBBE_00057","","","","","","","","","","","OECDBAHF_00057","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_1529","","hypothetical protein","2","2","1","1","347","1","2144","","1697","1697","1697","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","JCFLIBBE_00058","","","","","","","","","","","OECDBAHF_00058","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_1530","","minor tail protein","2","2","1","1","348","1","2145","","860","860","860","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","JCFLIBBE_00059","","","","","","","","","","","OECDBAHF_00059","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_1531","","hypothetical protein","2","2","1","1","349","1","2146","","2189","2189","2189","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","JCFLIBBE_00060","","","","","","","","","","","OECDBAHF_00060","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_1532","","hypothetical protein","2","2","1","1","341","1","1458","","140","140","140","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","JCFLIBBE_00063","","","","","","","","","","","OECDBAHF_00063","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_1533","","hypothetical protein","2","2","1","1","340","1","1459","","284","284","284","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","JCFLIBBE_00064","","","","","","","","","","","OECDBAHF_00064","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_1534","","holin","2","2","1","1","313","1","1456","","215","215","215","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","JCFLIBBE_00067","","","","","","","","","","","OECDBAHF_00067","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_1535","","hypothetical protein","2","2","1","1","312","1","1455","","353","353","353","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","JCFLIBBE_00068","","","","","","","","","","","OECDBAHF_00068","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_1536","","hypothetical protein","2","2","1","1","311","1","1454","","428","428","428","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","JCFLIBBE_00069","","","","","","","","","","","OECDBAHF_00069","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_1537","","hypothetical protein","2","2","1","1","310","1","1453","","746","746","746","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","JCFLIBBE_00070","","","","","","","","","","","OECDBAHF_00070","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_1538","","hypothetical protein","2","2","1","1","309","1","1452","","1910","1910","1910","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","JCFLIBBE_00071","","","","","","","","","","","OECDBAHF_00071","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_1539","","hypothetical protein","2","2","1","1","1738","1","350","","236","236","236","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NIFHHIAF_00043","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CENDIJOG_00023","","","","","","","","","","","","","","","","","","","","","","",""
"group_169","","hypothetical protein","2","2","1","1","2176","1","2012","","275","827","551","","","","","","","","","","","","","","","","","","","HDJDBBOK_00065","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NHPCAKGO_00006","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_174","","hypothetical protein","2","2","1","1","1991","1","1627","","152","152","152","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","BENEPOLG_00017","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NKJLJGKG_00038"
"group_1752","","hypothetical protein","2","2","1","1","1002","1","2190","","227","227","227","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CKOJEDDJ_00010","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","KBMEIMMN_00110","","","",""
"group_1763","","hypothetical protein","2","2","1","1","911","1","243","","506","506","506","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CKOJEDDJ_00035","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","KBMEIMMN_00085","","","",""
"group_1767","","hypothetical protein","2","2","1","1","907","1","251","","176","176","176","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CKOJEDDJ_00039","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","KBMEIMMN_00081","","","",""
"group_1768","","terminase","2","2","1","1","906","1","252","","1457","1457","1457","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CKOJEDDJ_00040","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","KBMEIMMN_00080","","","",""
"group_1769","","hypothetical protein","2","2","1","1","905","1","253","","356","356","356","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CKOJEDDJ_00041","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","KBMEIMMN_00079","","","",""
"group_1770","","hypothetical protein","2","2","1","1","904","1","254","","275","275","275","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CKOJEDDJ_00042","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","KBMEIMMN_00078","","","",""
"group_1771","","hypothetical protein","2","2","1","1","903","1","255","","248","248","248","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CKOJEDDJ_00043","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","KBMEIMMN_00077","","","",""
"group_1772","","hypothetical protein","2","2","1","1","850","1","256","","299","299","299","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CKOJEDDJ_00044","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","KBMEIMMN_00076","","","",""
"group_1773","","hypothetical protein","2","2","1","1","851","1","257","","404","404","404","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CKOJEDDJ_00045","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","KBMEIMMN_00075","","","",""
"group_1774","","hypothetical protein","2","2","1","1","852","1","258","","188","188","188","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CKOJEDDJ_00046","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","KBMEIMMN_00074","","","",""
"group_1775","","hypothetical protein","2","2","1","1","853","1","259","","224","224","224","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CKOJEDDJ_00047","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","KBMEIMMN_00073","","","",""
"group_1776","","hypothetical protein","2","2","1","1","854","1","260","","143","143","143","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CKOJEDDJ_00048","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","KBMEIMMN_00072","","","",""
"group_1777","","hypothetical protein","2","2","1","1","857","1","242","","308","308","308","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CKOJEDDJ_00050","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","KBMEIMMN_00070","","","",""
"group_1778","","hypothetical protein","2","2","1","1","663","1","238","","329","329","329","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CKOJEDDJ_00052","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","KBMEIMMN_00068","","","",""
"group_1780","","hypothetical protein","2","2","1","1","686","1","186","","194","194","194","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CKOJEDDJ_00059","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","KBMEIMMN_00061","","","",""
"group_1781","","hypothetical protein","2","2","1","1","685","1","185","","290","290","290","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CKOJEDDJ_00060","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","KBMEIMMN_00060","","","",""
"group_1782","","hypothetical protein","2","2","1","1","684","1","180","","212","212","212","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CKOJEDDJ_00061","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","KBMEIMMN_00059","","","",""
"group_1783","","hypothetical protein","2","2","1","1","830","1","202","","305","305","305","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CKOJEDDJ_00064","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","KBMEIMMN_00056","","","",""
"group_1784","","hypothetical protein","2","2","1","1","680","1","201","","125","125","125","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CKOJEDDJ_00065","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","KBMEIMMN_00055","","","",""
"group_1785","","hypothetical protein","2","2","1","1","681","1","200","","197","197","197","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CKOJEDDJ_00066","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","KBMEIMMN_00054","","","",""
"group_1787","","hypothetical protein","2","2","1","1","1827","1","1628","","287","287","287","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AKHDAJNK_00019","","","","","","","","","","","NDJLMKCL_00019","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_1788","","hypothetical protein","2","2","1","1","1826","1","1751","","257","257","257","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AKHDAJNK_00020","","","","","","","","","","","NDJLMKCL_00020","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_1802","","hypothetical protein","2","2","1","1","2198","1","2031","","287","290","288","","","","","","","","","","","","","","","","","","","HDJDBBOK_00047","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FECJIHDC_00060","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_1810","","hypothetical protein","2","2","1","1","2018","1","1565","","338","338","338","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","LJPMGBPL_00049","","","","","","","","","","","","","","","","","","","","","","","","","","","","FPLIBPMM_00027","","","","","","",""
"group_1818","","antirepressor","2","2","1","1","1704","1","1003","","791","791","791","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GJIGBABJ_00008","","","","","","","HNEDNBGA_00063","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_1819","","hypothetical protein","2","2","1","1","1597","1","983","","287","287","287","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GJIGBABJ_00010","","","","","","","HNEDNBGA_00059","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_1820","","hypothetical protein","2","2","1","1","1596","1","982","","314","314","314","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GJIGBABJ_00011","","","","","","","HNEDNBGA_00058","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_1824","","hypothetical protein","2","2","1","1","1592","1","981","","134","134","134","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GJIGBABJ_00015","","","","","","","HNEDNBGA_00057","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_1825","","hypothetical protein","2","2","1","1","1590","1","978","","260","260","260","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GJIGBABJ_00017","","","","","","","HNEDNBGA_00055","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_1826","","exonuclease","2","2","1","1","1589","1","977","","854","854","854","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GJIGBABJ_00018","","","","","","","HNEDNBGA_00054","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_1827","","RecT-like ssDNA binding protein","2","2","1","1","1588","1","976","","1112","1112","1112","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GJIGBABJ_00019","","","","","","","HNEDNBGA_00053","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_1832","","hypothetical protein","2","2","1","1","1521","1","878","","368","368","368","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GJIGBABJ_00028","","","","","","","HNEDNBGA_00045","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_1833","","hypothetical protein","2","2","1","1","1520","1","877","","365","365","365","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GJIGBABJ_00029","","","","","","","HNEDNBGA_00044","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_1834","","hypothetical protein","2","2","1","1","1519","1","876","","365","365","365","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GJIGBABJ_00030","","","","","","","HNEDNBGA_00043","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_1835","","hypothetical protein","2","2","1","1","1518","1","875","","596","596","596","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GJIGBABJ_00031","","","","","","","HNEDNBGA_00042","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_1836","","hypothetical protein","2","2","1","1","1517","1","874","","410","410","410","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GJIGBABJ_00032","","","","","","","HNEDNBGA_00041","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_1837","","hypothetical protein","2","2","1","1","1516","1","873","","410","410","410","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GJIGBABJ_00033","","","","","","","HNEDNBGA_00040","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_1838","","hypothetical protein","2","2","1","1","1515","1","872","","233","233","233","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GJIGBABJ_00034","","","","","","","HNEDNBGA_00039","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_1839","","HNH endonuclease","2","2","1","1","1514","1","871","","221","221","221","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GJIGBABJ_00035","","","","","","","HNEDNBGA_00038","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_1840","","hypothetical protein","2","2","1","1","1513","1","870","","359","359","359","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GJIGBABJ_00036","","","","","","","HNEDNBGA_00037","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_1841","","terminase large subunit","2","2","1","1","1512","1","869","","1550","1556","1553","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GJIGBABJ_00037","","","","","","","HNEDNBGA_00036","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_1842","","portal protein","2","2","1","1","1511","1","868","","1541","1541","1541","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GJIGBABJ_00038","","","","","","","HNEDNBGA_00035","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_1843","","capsid maturation protease","2","2","1","1","1510","1","867","","1277","1277","1277","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GJIGBABJ_00039","","","","","","","HNEDNBGA_00034","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_1844","","hypothetical protein","2","2","1","1","1509","1","866","","398","398","398","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GJIGBABJ_00040","","","","","","","HNEDNBGA_00033","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_1845","","major capsid protein","2","2","1","1","1508","1","865","","1037","1037","1037","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GJIGBABJ_00041","","","","","","","HNEDNBGA_00032","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_1846","","hypothetical protein","2","2","1","1","1507","1","864","","332","332","332","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GJIGBABJ_00042","","","","","","","HNEDNBGA_00031","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_1847","","hypothetical protein","2","2","1","1","1506","1","863","","482","482","482","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GJIGBABJ_00043","","","","","","","HNEDNBGA_00030","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_1848","","hypothetical protein","2","2","1","1","1505","1","862","","437","437","437","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GJIGBABJ_00044","","","","","","","HNEDNBGA_00029","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_1849","","hypothetical protein","2","2","1","1","1504","1","861","","578","578","578","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GJIGBABJ_00045","","","","","","","HNEDNBGA_00028","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_1850","","hypothetical protein","2","2","1","1","1503","1","860","","422","422","422","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GJIGBABJ_00046","","","","","","","HNEDNBGA_00027","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_1851","","major tail protein","2","2","1","1","1502","1","859","","1046","1046","1046","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GJIGBABJ_00047","","","","","","","HNEDNBGA_00026","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_1852","","tail assembly chaperone","2","2","1","1","1501","1","858","","485","485","485","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GJIGBABJ_00048","","","","","","","HNEDNBGA_00025","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_1853","","hypothetical protein","2","2","1","1","1500","1","857","","506","506","506","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GJIGBABJ_00049","","","","","","","HNEDNBGA_00024","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_1854","","minor tail protein","2","2","1","1","1498","1","855","","1556","1556","1556","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GJIGBABJ_00051","","","","","","","HNEDNBGA_00022","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_1855","","minor tail protein","2","2","1","1","1497","1","854","","1736","1736","1736","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GJIGBABJ_00052","","","","","","","HNEDNBGA_00021","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_1856","","minor tail protein","2","2","1","1","1496","1","853","","905","905","905","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GJIGBABJ_00053","","","","","","","HNEDNBGA_00020","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_1859","","tyrosine integrase","2","2","1","3","1","3","1","","1205","1205","1205","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FJCBIMJF_00001","","","","","","","","","","","","","","","","PPBNGNAP_00046","","","","","","","","","","","","","","",""
"group_1860","","hypothetical protein","2","2","1","3","2","3","2","","596","596","596","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FJCBIMJF_00002","","","","","","","","","","","","","","","","PPBNGNAP_00045","","","","","","","","","","","","","","",""
"group_1861","","hypothetical protein","2","2","1","3","3","3","3","","251","251","251","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FJCBIMJF_00003","","","","","","","","","","","","","","","","PPBNGNAP_00044","","","","","","","","","","","","","","",""
