"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","C1","C10","C11","C12","C13","C14","C15","C16","C17","C18","C19","C2","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C3","C30","C4","C5","C6","C7","C8","C9"
"group_351","","hypothetical protein","2","2","1","4","472","4","105","","293","293","293","","","","","","","AOBAIHMC_00022","","","","","","","","","","","","","","","","","","","CKPHLDKH_00022","","","",""
"group_352","","hypothetical protein","2","2","1","4","471","4","106","","278","278","278","","","","","","","AOBAIHMC_00023","","","","","","","","","","","","","","","","","","","CKPHLDKH_00023","","","",""
"group_353","","hypothetical protein","2","2","1","4","470","4","107","","173","173","173","","","","","","","AOBAIHMC_00024","","","","","","","","","","","","","","","","","","","CKPHLDKH_00024","","","",""
"group_354","","hypothetical protein","2","2","1","4","469","4","108","","149","149","149","","","","","","","AOBAIHMC_00025","","","","","","","","","","","","","","","","","","","CKPHLDKH_00025","","","",""
"group_355","","RecE-like exonuclease","2","2","1","4","468","4","109","","1016","1016","1016","","","","","","","AOBAIHMC_00026","","","","","","","","","","","","","","","","","","","CKPHLDKH_00026","","","",""
"group_356","","RecT-like ssDNA binding protein","2","2","1","4","467","4","110","","1064","1064","1064","","","","","","","AOBAIHMC_00027","","","","","","","","","","","","","","","","","","","CKPHLDKH_00027","","","",""
"group_357","","hypothetical protein","2","2","1","4","466","4","111","","395","395","395","","","","","","","AOBAIHMC_00028","","","","","","","","","","","","","","","","","","","CKPHLDKH_00028","","","",""
"group_359","","hypothetical protein","2","2","1","4","205","4","199","","260","260","260","","","","","","","AOBAIHMC_00035","","","","","","","","","","","","","","","","","","","CKPHLDKH_00035","","","",""
"group_360","","membrane protein","2","2","1","4","198","4","489","","638","638","638","","","","","","","AOBAIHMC_00038","","","","","","","","","","","","","","","","","","","CKPHLDKH_00038","","","",""
"group_37","","hypothetical protein","2","2","1","4","150","4","200","","263","266","264","","BENEPOLG_00005","","","","","","","","","","","","","","NDJLMKCL_00006","","","","","","","","","","","","","",""
"group_370","","integrase","2","2","1","1","25","1","337","","878","878","878","","","","","","","","","LMNJNKND_00001","","","","","","","","","","","","","","","","","","LPOKCGMG_00001","","",""
"group_371","","hypothetical protein","2","2","1","1","26","1","338","","296","296","296","","","","","","","","","LMNJNKND_00002","","","","","","","","","","","","","","","","","","LPOKCGMG_00002","","",""
"group_372","","hypothetical protein","2","2","1","1","54","1","332","","1490","1490","1490","","","","","","","","","LMNJNKND_00004","","","","","","","","","","","","","","","","","","LPOKCGMG_00004","","",""
"group_373","","hypothetical protein","2","2","1","1","55","1","333","","455","455","455","","","","","","","","","LMNJNKND_00005","","","","","","","","","","","","","","","","","","LPOKCGMG_00005","","",""
"group_374","","hypothetical protein","2","2","1","1","57","1","335","","251","251","251","","","","","","","","","LMNJNKND_00007","","","","","","","","","","","","","","","","","","LPOKCGMG_00007","","",""
"group_375","","hypothetical protein","2","2","1","1","79","1","385","","371","371","371","","","","","","","","","LMNJNKND_00013","","","","","","","","","","","","","","","","","","LPOKCGMG_00013","","",""
"group_376","","hypothetical protein","2","2","1","1","80","1","386","","1052","1052","1052","","","","","","","","","LMNJNKND_00014","","","","","","","","","","","","","","","","","","LPOKCGMG_00014","","",""
"group_377","","hypothetical protein","2","2","1","1","81","1","387","","161","161","161","","","","","","","","","LMNJNKND_00015","","","","","","","","","","","","","","","","","","LPOKCGMG_00015","","",""
"group_378","","minor tail protein","2","2","1","1","82","1","388","","2354","2354","2354","","","","","","","","","LMNJNKND_00016","","","","","","","","","","","","","","","","","","LPOKCGMG_00016","","",""
"group_379","","hypothetical protein","2","2","1","1","13","1","391","","221","221","221","","","","","","","","","LMNJNKND_00020","","","","","","","","","","","","","","","","","","LPOKCGMG_00020","","",""
"group_38","","hypothetical protein","2","2","1","4","464","4","120","","395","413","404","","BENEPOLG_00014","","","","","","","","","","","","","","NDJLMKCL_00013","","","","","","","","","","","","","",""
"group_381","","hypothetical protein","2","2","1","1","93","1","397","","524","524","524","","","","","","","","","LMNJNKND_00025","","","","","","","","","","","","","","","","","","LPOKCGMG_00025","","",""
"group_382","","hypothetical protein","2","2","1","1","100","1","403","","395","395","395","","","","","","","","","LMNJNKND_00031","","","","","","","","","","","","","","","","","","LPOKCGMG_00031","","",""
"group_383","","hypothetical protein","2","2","1","1","4","1","409","","380","380","380","","","","","","","","","LMNJNKND_00037","","","","","","","","","","","","","","","","","","LPOKCGMG_00037","","",""
"group_384","","terminase small subunit","2","2","1","1","3","1","436","","425","425","425","","","","","","","","","LMNJNKND_00038","","","","","","","","","","","","","","","","","","LPOKCGMG_00038","","",""
"group_385","","HNH endonuclease","2","2","1","1","428","1","438","","305","305","305","","","","","","","","","LMNJNKND_00040","","","","","","","","","","","","","","","","","","LPOKCGMG_00040","","",""
"group_386","","hypothetical protein","2","2","1","1","427","1","439","","401","401","401","","","","","","","","","LMNJNKND_00041","","","","","","","","","","","","","","","","","","LPOKCGMG_00041","","",""
"group_387","","hypothetical protein","2","2","1","1","426","1","440","","569","569","569","","","","","","","","","LMNJNKND_00042","","","","","","","","","","","","","","","","","","LPOKCGMG_00042","","",""
"group_388","","helix-turn-helix DNA binding domain protein","2","2","1","1","425","1","441","","875","875","875","","","","","","","","","LMNJNKND_00043","","","","","","","","","","","","","","","","","","LPOKCGMG_00043","","",""
"group_389","","hypothetical protein","2","2","1","1","424","1","442","","239","239","239","","","","","","","","","LMNJNKND_00044","","","","","","","","","","","","","","","","","","LPOKCGMG_00044","","",""
"group_39","","membrane protein","2","2","1","4","460","4","116","","185","185","185","","BENEPOLG_00018","","","","","","","","","","","","","","NDJLMKCL_00017","","","","","","","","","","","","","",""
"group_390","","helix-turn-helix DNA binding domain protein","2","2","1","1","423","1","443","","923","923","923","","","","","","","","","LMNJNKND_00045","","","","","","","","","","","","","","","","","","LPOKCGMG_00045","","",""
"group_391","","hypothetical protein","2","2","1","1","422","1","444","","254","254","254","","","","","","","","","LMNJNKND_00046","","","","","","","","","","","","","","","","","","LPOKCGMG_00046","","",""
"group_392","","hypothetical protein","2","2","1","1","421","1","445","","755","755","755","","","","","","","","","LMNJNKND_00047","","","","","","","","","","","","","","","","","","LPOKCGMG_00047","","",""
"group_393","","hypothetical protein","2","2","1","1","420","1","446","","200","200","200","","","","","","","","","LMNJNKND_00048","","","","","","","","","","","","","","","","","","LPOKCGMG_00048","","",""
"group_394","","DNA polymerase III subunit beta","2","2","1","1","419","1","447","","1148","1148","1148","","","","","","","","","LMNJNKND_00049","","","","","","","","","","","","","","","","","","LPOKCGMG_00049","","",""
"group_395","","hypothetical protein","2","2","1","1","418","1","448","","383","383","383","","","","","","","","","LMNJNKND_00050","","","","","","","","","","","","","","","","","","LPOKCGMG_00050","","",""
"group_396","","hypothetical protein","2","2","1","1","417","1","449","","206","206","206","","","","","","","","","LMNJNKND_00051","","","","","","","","","","","","","","","","","","LPOKCGMG_00051","","",""
"group_397","","hypothetical protein","2","2","1","1","416","1","450","","413","413","413","","","","","","","","","LMNJNKND_00052","","","","","","","","","","","","","","","","","","LPOKCGMG_00052","","",""
"group_398","","hypothetical protein","2","2","1","1","415","1","451","","188","188","188","","","","","","","","","LMNJNKND_00053","","","","","","","","","","","","","","","","","","LPOKCGMG_00053","","",""
"group_399","","hypothetical protein","2","2","1","1","414","1","298","","332","332","332","","","","","","","","","LMNJNKND_00054","","","","","","","","","","","","","","","","","","LPOKCGMG_00054","","",""
"group_400","","hypothetical protein","2","2","1","1","413","1","297","","296","296","296","","","","","","","","","LMNJNKND_00055","","","","","","","","","","","","","","","","","","LPOKCGMG_00055","","",""
"group_401","","hypothetical protein","2","2","1","1","412","1","296","","272","272","272","","","","","","","","","LMNJNKND_00056","","","","","","","","","","","","","","","","","","LPOKCGMG_00056","","",""
"group_402","","excise","2","2","1","1","411","1","295","","269","269","269","","","","","","","","","LMNJNKND_00057","","","","","","","","","","","","","","","","","","LPOKCGMG_00057","","",""
"group_408","","hypothetical protein","2","2","1","4","170","4","205","","215","215","215","","","","","","","","","","","GJFOIMLP_00058","","LJPMGBPL_00057","","","","","","","","","","","","","","","","",""
"group_512","","hypothetical protein","2","2","1","4","151","4","204","","338","338","338","","","","","","","","","","","","","LJPMGBPL_00049","","","","","","","","","","FPLIBPMM_00027","","","","","","",""
"group_523","","antirepressor","2","2","1","1","266","1","291","","791","791","791","","","","","","","","","","","","","","","GJIGBABJ_00008","","","","HNEDNBGA_00063","","","","","","","","","","",""
"group_524","","hypothetical protein","2","2","1","1","244","1","143","","287","287","287","","","","","","","","","","","","","","","GJIGBABJ_00010","","","","HNEDNBGA_00059","","","","","","","","","","",""
"group_525","","hypothetical protein","2","2","1","1","243","1","259","","314","314","314","","","","","","","","","","","","","","","GJIGBABJ_00011","","","","HNEDNBGA_00058","","","","","","","","","","",""
"group_529","","hypothetical protein","2","2","1","1","242","1","260","","134","134","134","","","","","","","","","","","","","","","GJIGBABJ_00015","","","","HNEDNBGA_00057","","","","","","","","","","",""
"group_530","","hypothetical protein","2","2","1","1","240","1","262","","260","260","260","","","","","","","","","","","","","","","GJIGBABJ_00017","","","","HNEDNBGA_00055","","","","","","","","","","",""
"group_531","","exonuclease","2","2","1","1","239","1","263","","854","854","854","","","","","","","","","","","","","","","GJIGBABJ_00018","","","","HNEDNBGA_00054","","","","","","","","","","",""
"group_532","","RecT-like ssDNA binding protein","2","2","1","1","238","1","264","","1112","1112","1112","","","","","","","","","","","","","","","GJIGBABJ_00019","","","","HNEDNBGA_00053","","","","","","","","","","",""
"group_537","","hypothetical protein","2","2","1","1","228","1","248","","368","368","368","","","","","","","","","","","","","","","GJIGBABJ_00028","","","","HNEDNBGA_00045","","","","","","","","","","",""
"group_538","","hypothetical protein","2","2","1","1","227","1","246","","365","365","365","","","","","","","","","","","","","","","GJIGBABJ_00029","","","","HNEDNBGA_00044","","","","","","","","","","",""
"group_539","","hypothetical protein","2","2","1","1","226","1","245","","365","365","365","","","","","","","","","","","","","","","GJIGBABJ_00030","","","","HNEDNBGA_00043","","","","","","","","","","",""
"group_540","","hypothetical protein","2","2","1","1","225","1","244","","596","596","596","","","","","","","","","","","","","","","GJIGBABJ_00031","","","","HNEDNBGA_00042","","","","","","","","","","",""
"group_541","","hypothetical protein","2","2","1","1","224","1","243","","410","410","410","","","","","","","","","","","","","","","GJIGBABJ_00032","","","","HNEDNBGA_00041","","","","","","","","","","",""
"group_542","","hypothetical protein","2","2","1","1","223","1","242","","410","410","410","","","","","","","","","","","","","","","GJIGBABJ_00033","","","","HNEDNBGA_00040","","","","","","","","","","",""
"group_543","","hypothetical protein","2","2","1","1","222","1","241","","233","233","233","","","","","","","","","","","","","","","GJIGBABJ_00034","","","","HNEDNBGA_00039","","","","","","","","","","",""
"group_544","","HNH endonuclease","2","2","1","1","221","1","240","","221","221","221","","","","","","","","","","","","","","","GJIGBABJ_00035","","","","HNEDNBGA_00038","","","","","","","","","","",""
"group_545","","hypothetical protein","2","2","1","1","220","1","239","","359","359","359","","","","","","","","","","","","","","","GJIGBABJ_00036","","","","HNEDNBGA_00037","","","","","","","","","","",""
"group_546","","terminase large subunit","2","2","1","1","219","1","238","","1550","1556","1553","","","","","","","","","","","","","","","GJIGBABJ_00037","","","","HNEDNBGA_00036","","","","","","","","","","",""
"group_547","","portal protein","2","2","1","1","218","1","237","","1541","1541","1541","","","","","","","","","","","","","","","GJIGBABJ_00038","","","","HNEDNBGA_00035","","","","","","","","","","",""
"group_548","","capsid maturation protease","2","2","1","1","217","1","236","","1277","1277","1277","","","","","","","","","","","","","","","GJIGBABJ_00039","","","","HNEDNBGA_00034","","","","","","","","","","",""
"group_549","","hypothetical protein","2","2","1","1","216","1","235","","398","398","398","","","","","","","","","","","","","","","GJIGBABJ_00040","","","","HNEDNBGA_00033","","","","","","","","","","",""
"group_550","","major capsid protein","2","2","1","1","215","1","234","","1037","1037","1037","","","","","","","","","","","","","","","GJIGBABJ_00041","","","","HNEDNBGA_00032","","","","","","","","","","",""
"group_551","","hypothetical protein","2","2","1","1","214","1","233","","332","332","332","","","","","","","","","","","","","","","GJIGBABJ_00042","","","","HNEDNBGA_00031","","","","","","","","","","",""
"group_552","","hypothetical protein","2","2","1","1","213","1","232","","482","482","482","","","","","","","","","","","","","","","GJIGBABJ_00043","","","","HNEDNBGA_00030","","","","","","","","","","",""
"group_553","","hypothetical protein","2","2","1","1","212","1","231","","437","437","437","","","","","","","","","","","","","","","GJIGBABJ_00044","","","","HNEDNBGA_00029","","","","","","","","","","",""
"group_554","","hypothetical protein","2","2","1","1","211","1","230","","578","578","578","","","","","","","","","","","","","","","GJIGBABJ_00045","","","","HNEDNBGA_00028","","","","","","","","","","",""
"group_555","","hypothetical protein","2","2","1","1","210","1","229","","422","422","422","","","","","","","","","","","","","","","GJIGBABJ_00046","","","","HNEDNBGA_00027","","","","","","","","","","",""
"group_556","","major tail protein","2","2","1","1","209","1","228","","1046","1046","1046","","","","","","","","","","","","","","","GJIGBABJ_00047","","","","HNEDNBGA_00026","","","","","","","","","","",""
"group_557","","tail assembly chaperone","2","2","1","1","208","1","227","","485","485","485","","","","","","","","","","","","","","","GJIGBABJ_00048","","","","HNEDNBGA_00025","","","","","","","","","","",""
"group_558","","hypothetical protein","2","2","1","1","207","1","226","","506","506","506","","","","","","","","","","","","","","","GJIGBABJ_00049","","","","HNEDNBGA_00024","","","","","","","","","","",""
"group_559","","minor tail protein","2","2","1","1","205","1","224","","1556","1556","1556","","","","","","","","","","","","","","","GJIGBABJ_00051","","","","HNEDNBGA_00022","","","","","","","","","","",""
"group_560","","minor tail protein","2","2","1","1","204","1","223","","1736","1736","1736","","","","","","","","","","","","","","","GJIGBABJ_00052","","","","HNEDNBGA_00021","","","","","","","","","","",""
"group_561","","minor tail protein","2","2","1","1","203","1","222","","905","905","905","","","","","","","","","","","","","","","GJIGBABJ_00053","","","","HNEDNBGA_00020","","","","","","","","","","",""
"group_569","","hypothetical protein","2","2","1","4","270","4","305","","371","371","371","","","","","","","","","","","","","","","","","HMEBHMNJ_00001","","","","","","","","EMCAFMOK_00084","","","","",""
"group_570","","hypothetical protein","2","2","1","4","271","4","306","","407","407","407","","","","","","","","","","","","","","","","","HMEBHMNJ_00002","","","","","","","","EMCAFMOK_00083","","","","",""
"group_571","","Virulent PATRIC_VF|Rv3003c acetolactate synthase 1 catalytic subunit [Mycobacterium tuberculosis H37Rv]","2","2","1","4","272","4","307","","1643","1643","1643","","","","","","","","","","","","","","","","","HMEBHMNJ_00003","","","","","","","","EMCAFMOK_00082","","","","",""
"gabD1","","Succinate-semialdehyde dehydrogenase [NADP(+)] 1","2","2","1","4","273","4","308","","1373","1373","1373","","","","","","","","","","","","","","","","","HMEBHMNJ_00004","","","","","","","","EMCAFMOK_00081","","","","",""
"group_573","","hypothetical protein","2","2","1","4","268","4","438","","416","416","416","","","","","","","","","","","","","","","","","HMEBHMNJ_00007","","","","","","","","EMCAFMOK_00078","","","","",""
"group_587","","hypothetical protein","2","2","1","4","251","4","292","","299","299","299","","","","","","","","","","","","","","","","","HMEBHMNJ_00025","","","","","","","","EMCAFMOK_00058","","","","",""
"group_588","","major tail protein","2","2","1","4","246","4","289","","542","542","542","","","","","","","","","","","","","","","","","HMEBHMNJ_00028","","","","","","","","EMCAFMOK_00055","","","","",""
"group_591","","portal protein","2","2","1","4","221","4","280","","1403","1403","1403","","","","","","","","","","","","","","","","","HMEBHMNJ_00037","","","","","","","","EMCAFMOK_00046","","","","",""
"group_592","","terminase large subunit","2","2","1","4","222","4","279","","1673","1673","1673","","","","","","","","","","","","","","","","","HMEBHMNJ_00038","","","","","","","","EMCAFMOK_00045","","","","",""
"group_597","","hypothetical protein","2","2","1","4","228","4","272","","176","176","176","","","","","","","","","","","","","","","","","HMEBHMNJ_00044","","","","","","","","EMCAFMOK_00038","","","","",""
"group_599","","hypothetical protein","2","2","1","4","230","4","270","","404","404","404","","","","","","","","","","","","","","","","","HMEBHMNJ_00046","","","","","","","","EMCAFMOK_00037","","","","",""
"group_600","","DnaJ-like chaperonin","2","2","1","4","232","4","268","","677","677","677","","","","","","","","","","","","","","","","","HMEBHMNJ_00048","","","","","","","","EMCAFMOK_00035","","","","",""
"group_601","whiB","Transcriptional regulator WhiB","2","2","1","4","233","4","267","","338","338","338","","","","","","","","","","","","","","","","","HMEBHMNJ_00049","","","","","","","","EMCAFMOK_00034","","","","",""
"group_602","","RuvC-like resolvase","2","2","1","4","234","4","266","","617","617","617","","","","","","","","","","","","","","","","","HMEBHMNJ_00050","","","","","","","","EMCAFMOK_00033","","","","",""
"group_63","","hypothetical protein","2","2","1","1","33","1","355","","212","212","212","","","","KMMKDNHJ_00038","","","","JBNMJEOL_00008","","","","","","","","","","","","","","","","","","","","","",""
"group_65","","hypothetical protein","2","2","1","1","40","1","347","","506","506","506","","","","KMMKDNHJ_00046","","","","","","","","","","PGNDIKEO_00007","","","","","","","","","","","","","","","",""
"group_66","","hypothetical protein","2","2","1","1","39","1","346","","563","563","563","","","","KMMKDNHJ_00047","","","","","","","","","","PGNDIKEO_00006","","","","","","","","","","","","","","","",""
"group_67","","hypothetical protein","2","2","1","1","37","1","344","","1223","1790","1506","","","","KMMKDNHJ_00049","","","","","","","","","","PGNDIKEO_00004","","","","","","","","","","","","","","","",""
"group_793","","tyrosine integrase","2","2","1","1","274","1","5","","1265","1265","1265","","","","","","","","","","","","","","","","","","","","","PMLJKELD_00001","LPAKEKCL_00004","","","","","","","",""
"group_794","","hypothetical protein","2","2","1","1","275","1","6","","770","770","770","","","","","","","","","","","","","","","","","","","","","PMLJKELD_00002","LPAKEKCL_00005","","","","","","","",""
"group_795","","hypothetical protein","2","2","1","1","276","1","7","","434","434","434","","","","","","","","","","","","","","","","","","","","","PMLJKELD_00003","LPAKEKCL_00006","","","","","","","",""
"group_796","","excise","2","2","1","1","277","1","8","","215","215","215","","","","","","","","","","","","","","","","","","","","","PMLJKELD_00004","LPAKEKCL_00007","","","","","","","",""
"group_797","","hypothetical protein","2","2","1","1","278","1","9","","311","311","311","","","","","","","","","","","","","","","","","","","","","PMLJKELD_00005","LPAKEKCL_00008","","","","","","","",""
"group_798","","hypothetical protein","2","2","1","1","279","1","10","","308","308","308","","","","","","","","","","","","","","","","","","","","","PMLJKELD_00006","LPAKEKCL_00009","","","","","","","",""
"group_799","","hypothetical protein","2","2","1","1","280","1","11","","155","155","155","","","","","","","","","","","","","","","","","","","","","PMLJKELD_00007","LPAKEKCL_00010","","","","","","","",""
"group_800","","esterase","2","2","1","1","281","1","12","","803","803","803","","","","","","","","","","","","","","","","","","","","","PMLJKELD_00008","LPAKEKCL_00011","","","","","","","",""
"lexA","","LexA repressor","2","2","1","1","282","1","13","","203","203","203","","","","","","","","","","","","","","","","","","","","","PMLJKELD_00009","LPAKEKCL_00012","","","","","","","",""
"group_802","","hypothetical protein","2","2","1","1","283","1","14","","257","257","257","","","","","","","","","","","","","","","","","","","","","PMLJKELD_00010","LPAKEKCL_00013","","","","","","","",""
"group_803","","membrane protein","2","2","1","1","284","1","15","","902","902","902","","","","","","","","","","","","","","","","","","","","","PMLJKELD_00011","LPAKEKCL_00014","","","","","","","",""
"group_804","","hypothetical protein","2","2","1","1","285","1","16","","344","344","344","","","","","","","","","","","","","","","","","","","","","PMLJKELD_00012","LPAKEKCL_00015","","","","","","","",""
"group_805","","hypothetical protein","2","2","1","1","286","1","17","","1433","1433","1433","","","","","","","","","","","","","","","","","","","","","PMLJKELD_00013","LPAKEKCL_00016","","","","","","","",""
"group_806","","hypothetical protein","2","2","1","1","287","1","18","","350","350","350","","","","","","","","","","","","","","","","","","","","","PMLJKELD_00014","LPAKEKCL_00017","","","","","","","",""
"group_807","","hypothetical protein","2","2","1","1","288","1","19","","185","185","185","","","","","","","","","","","","","","","","","","","","","PMLJKELD_00015","LPAKEKCL_00018","","","","","","","",""
"group_808","","exonuclease","2","2","1","1","289","1","20","","839","839","839","","","","","","","","","","","","","","","","","","","","","PMLJKELD_00016","LPAKEKCL_00019","","","","","","","",""
"group_809","","hypothetical protein","2","2","1","1","290","1","21","","350","350","350","","","","","","","","","","","","","","","","","","","","","PMLJKELD_00017","LPAKEKCL_00020","","","","","","","",""
"group_810","","ssDNA binding protein","2","2","1","1","291","1","22","","761","761","761","","","","","","","","","","","","","","","","","","","","","PMLJKELD_00018","LPAKEKCL_00021","","","","","","","",""
"group_811","","hypothetical protein","2","2","1","1","292","1","23","","347","347","347","","","","","","","","","","","","","","","","","","","","","PMLJKELD_00019","LPAKEKCL_00022","","","","","","","",""
"group_812","","hypothetical protein","2","2","1","1","293","1","24","","236","236","236","","","","","","","","","","","","","","","","","","","","","PMLJKELD_00020","LPAKEKCL_00023","","","","","","","",""
"group_813","","HNH endonuclease","2","2","1","1","294","1","25","","245","245","245","","","","","","","","","","","","","","","","","","","","","PMLJKELD_00021","LPAKEKCL_00024","","","","","","","",""
"group_814","","hypothetical protein","2","2","1","1","295","1","26","","353","353","353","","","","","","","","","","","","","","","","","","","","","PMLJKELD_00022","LPAKEKCL_00025","","","","","","","",""
"group_815","","hypothetical protein","2","2","1","1","296","1","27","","662","662","662","","","","","","","","","","","","","","","","","","","","","PMLJKELD_00023","LPAKEKCL_00026","","","","","","","",""
"group_816","","DnaB-like dsDNA helicase","2","2","1","1","297","1","28","","1271","1271","1271","","","","","","","","","","","","","","","","","","","","","PMLJKELD_00024","LPAKEKCL_00027","","","","","","","",""
"group_817","","hypothetical protein","2","2","1","1","298","1","29","","263","263","263","","","","","","","","","","","","","","","","","","","","","PMLJKELD_00025","LPAKEKCL_00028","","","","","","","",""
"group_818","","hypothetical protein","2","2","1","1","299","1","30","","284","284","284","","","","","","","","","","","","","","","","","","","","","PMLJKELD_00026","LPAKEKCL_00029","","","","","","","",""
"group_819","","hypothetical protein","2","2","1","1","300","1","31","","860","860","860","","","","","","","","","","","","","","","","","","","","","PMLJKELD_00027","LPAKEKCL_00030","","","","","","","",""
"group_820","","hypothetical protein","2","2","1","1","301","1","32","","1490","1490","1490","","","","","","","","","","","","","","","","","","","","","PMLJKELD_00028","LPAKEKCL_00031","","","","","","","",""
"group_821","","hypothetical protein","2","2","1","1","302","1","33","","335","335","335","","","","","","","","","","","","","","","","","","","","","PMLJKELD_00029","LPAKEKCL_00032","","","","","","","",""
"group_822","","hypothetical protein","2","2","1","1","303","1","34","","950","950","950","","","","","","","","","","","","","","","","","","","","","PMLJKELD_00030","LPAKEKCL_00033","","","","","","","",""
"group_823","","hypothetical protein","2","2","1","1","304","1","35","","290","290","290","","","","","","","","","","","","","","","","","","","","","PMLJKELD_00031","LPAKEKCL_00034","","","","","","","",""
"group_824","","hypothetical protein","2","2","1","1","305","1","36","","218","218","218","","","","","","","","","","","","","","","","","","","","","PMLJKELD_00032","LPAKEKCL_00035","","","","","","","",""
"group_825","","hypothetical protein","2","2","1","1","306","1","37","","350","350","350","","","","","","","","","","","","","","","","","","","","","PMLJKELD_00033","LPAKEKCL_00036","","","","","","","",""
"group_826","whiB","Transcriptional regulator WhiB","2","2","1","1","307","1","38","","500","500","500","","","","","","","","","","","","","","","","","","","","","PMLJKELD_00034","LPAKEKCL_00037","","","","","","","",""
"group_827","","hypothetical protein","2","2","1","1","308","1","39","","563","563","563","","","","","","","","","","","","","","","","","","","","","PMLJKELD_00035","LPAKEKCL_00038","","","","","","","",""
"group_828","","antirepressor","2","2","1","1","309","1","40","","845","845","845","","","","","","","","","","","","","","","","","","","","","PMLJKELD_00036","LPAKEKCL_00039","","","","","","","",""
"group_829","","SSDNA binding protein","2","2","1","1","310","1","41","","401","401","401","","","","","","","","","","","","","","","","","","","","","PMLJKELD_00037","LPAKEKCL_00040","","","","","","","",""
"group_830","","hypothetical protein","2","2","1","1","311","1","42","","332","332","332","","","","","","","","","","","","","","","","","","","","","PMLJKELD_00038","LPAKEKCL_00041","","","","","","","",""
"group_831","","RNA ligase","2","2","1","1","312","1","43","","1280","1280","1280","","","","","","","","","","","","","","","","","","","","","PMLJKELD_00039","LPAKEKCL_00042","","","","","","","",""
"group_832","","hypothetical protein","2","2","1","1","313","1","44","","332","332","332","","","","","","","","","","","","","","","","","","","","","PMLJKELD_00040","LPAKEKCL_00043","","","","","","","",""
"group_833","","HNH endonuclease","2","2","1","1","314","1","45","","404","404","404","","","","","","","","","","","","","","","","","","","","","PMLJKELD_00041","LPAKEKCL_00044","","","","","","","",""
"group_834","","hypothetical protein","2","2","1","1","315","1","46","","215","215","215","","","","","","","","","","","","","","","","","","","","","PMLJKELD_00042","LPAKEKCL_00045","","","","","","","",""
"group_835","","hypothetical protein","2","2","1","1","316","1","47","","269","269","269","","","","","","","","","","","","","","","","","","","","","PMLJKELD_00043","LPAKEKCL_00046","","","","","","","",""
"group_836","","hypothetical protein","2","2","1","1","317","1","48","","317","317","317","","","","","","","","","","","","","","","","","","","","","PMLJKELD_00044","LPAKEKCL_00047","","","","","","","",""
"group_837","","DNA polymerase II","2","2","1","1","318","1","49","","785","785","785","","","","","","","","","","","","","","","","","","","","","PMLJKELD_00045","LPAKEKCL_00048","","","","","","","",""
"group_838","","hypothetical protein","2","2","1","1","319","1","50","","347","347","347","","","","","","","","","","","","","","","","","","","","","PMLJKELD_00046","LPAKEKCL_00049","","","","","","","",""
"group_839","","hypothetical protein","2","2","1","1","320","1","51","","179","179","179","","","","","","","","","","","","","","","","","","","","","PMLJKELD_00047","LPAKEKCL_00050","","","","","","","",""
"group_840","","hypothetical protein","2","2","1","1","321","1","52","","239","239","239","","","","","","","","","","","","","","","","","","","","","PMLJKELD_00048","LPAKEKCL_00051","","","","","","","",""
"group_841","","hypothetical protein","2","2","1","1","322","1","53","","152","152","152","","","","","","","","","","","","","","","","","","","","","PMLJKELD_00049","LPAKEKCL_00052","","","","","","","",""
"group_842","","hypothetical protein","2","2","1","1","323","1","54","","173","173","173","","","","","","","","","","","","","","","","","","","","","PMLJKELD_00050","LPAKEKCL_00053","","","","","","","",""
"group_843","","hypothetical protein","2","2","1","1","324","1","55","","245","245","245","","","","","","","","","","","","","","","","","","","","","PMLJKELD_00051","LPAKEKCL_00054","","","","","","","",""
"group_844","","hypothetical protein","2","2","1","1","325","1","56","","176","176","176","","","","","","","","","","","","","","","","","","","","","PMLJKELD_00052","LPAKEKCL_00055","","","","","","","",""
"group_845","","hypothetical protein","2","2","1","1","326","1","57","","266","266","266","","","","","","","","","","","","","","","","","","","","","PMLJKELD_00053","LPAKEKCL_00056","","","","","","","",""
"group_846","","tRNA-Leu(caa)","2","2","1","1","327","1","58","","74","74","74","","","","","","","","","","","","","","","","","","","","","PMLJKELD_00054","LPAKEKCL_00057","","","","","","","",""
"group_847","","hypothetical protein","2","2","1","1","328","1","59","","641","641","641","","","","","","","","","","","","","","","","","","","","","PMLJKELD_00056","LPAKEKCL_00059","","","","","","","",""
"group_848","","hypothetical protein","2","2","1","1","329","1","60","","779","779","779","","","","","","","","","","","","","","","","","","","","","PMLJKELD_00059","LPAKEKCL_00062","","","","","","","",""
"group_849","","hypothetical protein","2","2","1","1","330","1","61","","1241","1241","1241","","","","","","","","","","","","","","","","","","","","","PMLJKELD_00060","LPAKEKCL_00063","","","","","","","",""
"group_850","","tRNA-Phe(gaa)","2","2","1","1","331","1","62","","73","73","73","","","","","","","","","","","","","","","","","","","","","PMLJKELD_00063","LPAKEKCL_00066","","","","","","","",""
"group_851","","tRNA-Trp(cca)","2","2","1","1","332","1","63","","73","73","73","","","","","","","","","","","","","","","","","","","","","PMLJKELD_00064","LPAKEKCL_00067","","","","","","","",""
